art	are
didst	did
hadst	had
hast	have
hath	has
hearken	listen
saith	says
shalt	will
thee	you
thine	yours
thou	you
thy	your
wilt	will
ye	you
holdeth	holds
lieth	lies
wast	were
wert	were
dost	do
canst	can
mayest	may
mightest	might
must	must
whelp	cub
nigh	near
Sion	Zion
seest	see
knowest	know
goest	go
doest	do
comest	come
gavest	gave
sayest	say
doth	does
goeth	goes
cometh	comes
giveth	gives
wrought	worked
whosoever	whoever
Juda	Judah
whither	where
unto	to
Osee	Hosea
thyself	yourself
Galaad	Gilead
shewed	showed
shouldest	should
saidst	said
brethren	brothers
Nineve	Nineveh
Naum	Nahum
Ambacum	Habakkuk
Sophonias	Zephaniah
Ezekias	Hezekiah
Amorias	Amariah
Josias	Josiah
Choreb	Horeb
nay	no
"# wherefore is not safe ... sometimes it means so, or therefore. Deal with it case by case with phrase rules"	
#wherefore	why
Booz	Boaz
Noemin	Naomi
brazen	bronze
Pharao	Pharaoh
Eliu	Elijah
Elisaie	Elisha
Bæthel	Bethel
yea	yes
smite	strike
verily	truly
wouldest	would
Mardochæus	Mordecai
Aman	Haman
Nabuchodonosor	Nebuchadnezzar
Sedrach	Shadrach
Misach	Meshach
Abdenago	Abednego
Baltasar	Belteshazzar
pulse	beans
Azarias	Azariah
Misael	Mishael
intreated	asked
sawest	saw
smote	struck
shall	will
whereas	because
sittest	sits
whomsoever	whoever
slew	killed
asses	donkeys
servest	serve
raiment	clothing
hitherto	here
countenance	face
Jeremias	Jeremiah
broughtest	brought
madest	made
sware	swore
Ozias	Uzziah
Joatham	Jotham
Achaz	Ahaz
Joas	Joash
Jezrael	Jezreel
thence	from there
Judas	Judah
slain	killed
falsehoods	lies
hearkened	listened
cleave	cling
#compassed	surrounded ... sometimes that might be alright, but sometimes "go throughout" might be more appropriate.
tabernacles	tents
caul	covering
rend	tear
render	give
meat	food
corn	grain
husbandmen	farmers
Galaadites	Gileadites
slay	kill
froward	perverse
Obdias	Obadiah
Noe	Noah
stoodest	stood
Jonas	Jonah
heardest	heard
confounded	greatly agitated
Michæas	Micah
shew	show
for ever	forever
Bethleem	Bethlehem
heathen	nations
whereby	by which
Abraam	Abraham
swarest	swore
whence	where
hasting	hurrying
meats	food
wentest	went
strange	foreign
in nowise	not
Chanaan	Canaan
wherewith	with which
Sodoma	Sodom
Gomorrha	Gomorrah
Aggæus	Haggai
Zorobabel	Zerubbabel
Salathiel	Shealtiel
ceiled	panelled
Zacharias	Zechariah
cry yet	proclaim again
# yet	again	 yet -> again is problematic. It works in many places but it others not at all
yet shall cities	cities will again
what seest thou	what do you see
thou hast well seen	you have seen well
blessed art thou	you are blessed
no more be ashamed for ever	never be ashamed again
shall the saved one be	the saved one shall be
they that	those who
she that	the one who
They that	Those who
She that	The one who
Whither goest thou	Where are you going
whither goest thou	where are you going
Whence comest thou	Where do you come from
whence comest thou	where do you come from
How long shall	How long will
there is none	there is no one
There is none	There is no one
it came to pass	it happened
on the morrow	the next day
latter rain	late rain
I pray you	please
Went not my heart	Didn't my heart go
yet speaking	still speaking
thereof	of it
do thou tell	tell
shall be able to	can
forasmuch as	because
who was gone forth	who had gone out
went forth	went out
at what hour ye shall hear	whenever you hear
every man who shall hear	every man who hears
whensoever ye shall	whenever you
didst thou bring	you brought
Wherefore all that thou hast	So all that you have
disannul thou	cancel
are become	have become
beholdest	sees
hath he delivered	he has delivered
Did we not	Didn't we
fed of it	fed from it
art grown	have grown
a twelvemonth	twelve months
all that walk	all who walk
whom he would	whoever he wanted
knowest thou not	don't you know
in the midst of	among
and do thou seal the vision	seal the vision
I am now come	I have now come
I am come	I have come
quit thyself like a man	be courageous
after that he is master	after he is master
when his kingdom shall stand up	when his kingdom stands up
neither be on his side	nor be on his side
shall the land	the land will
left off to take heed	abandoned listening
when they shall commit	when they commit
attend	pay attention
shall the cankerworm devour	the cankerworm will devour
shall in nowise cease from you	will not cease
as a lion	like a lion
brought to nought	brought to nothing
Wherefore their hearts	So their hearts
morning is come	morning has come
their kings are fallen	their kings have fallen
now have their own counsels	now their own counsels have
wherefore thy calf	so your calf
avails not to make meal	isn't enough to make a meal
now is he become	now he has become
now will he remember	now he will remember
him that made him	the one who made him
are come	have come
